geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.5336160770612, 7.609860329898159;"{""coordinates"": [7.609860329898159, 47.5336160770612], ""type"": ""Point""}";175;FHNW Campus der Künste;Oslo-Strasse;;4023;Basel;BS;Ateliergebäude, EG;Zu Betriebszeiten
47.558334698995886, 7.578814995156653;"{""coordinates"": [7.578814995156653, 47.558334698995886], ""type"": ""Point""}";177;Kognitive Neurowissenschaften;Birmansgasse;8;4055;Basel;BS;1. Stock, aus dem Aufzug heraus rechte Tür, im Gang gleich links neben der Tür;Mo-Fr 0800-1700
47.563056001684004, 7.579795106180025;"{""coordinates"": [7.579795106180025, 47.563056001684004], ""type"": ""Point""}";178;Medizinische Fakultät;Klingelbergstrasse;61;4056;Basel;BS;3. Stock - im Gang vorne rechts;Mo-Fr 0800-1800
47.56016670192762, 7.581079104966063;"{""coordinates"": [7.581079104966063, 47.56016670192762], ""type"": ""Point""}";181;Phil.-Hist. Fakultät, Dekanat, Pflegewiss., Insitute for Biomedical Ethics;Bernoullistrasse;28;4056;Basel;BS;EG, rechts neben Lift;09.00-12.00 & 14.00-16.00 (Mo-Fr)
47.55904910080821, 7.5845739995194785;"{""coordinates"": [7.584573999519479, 47.55904910080821], ""type"": ""Point""}";191;Seminar für Soziologie/Musikwissenschaftliches Seminar;Petersgraben;27-29;4051;Basel;BS;1. Stock, Treppenhaus links an der Wand Richtung 2. Stock;08:00 - 17:00 (Mo-Fr)
47.558134599441104, 7.585327403576878;"{""coordinates"": [7.585327403576878, 47.558134599441104], ""type"": ""Point""}";194;Theologische Fakultät;Nadelberg;10;4051;Basel;BS;1. Stock, am Ende vom grossen Bürovorraum, frei zugänglich;Mo-Fr 0730-1830
47.556341594861856, 7.585445906277853;"{""coordinates"": [7.585445906277853, 47.556341594861856], ""type"": ""Point""}";195;Theologische Fakultät;Heuberg;12;4051;Basel;BS;1. Stock, im Vorraum vor der Herrentoilette, frei zugänglich;Wenn Fakultät offen ist
47.56637019916679, 7.601982102338522;"{""coordinates"": [7.601982102338522, 47.56637019916679], ""type"": ""Point""}";196;Uni Basel, Departement Biomedizin;Mattenstrasse;28;4058;Basel;BS;Gang EG neben öffentl. Grossem Seminarraum 0-025;Mo-Fr 0800-1700
47.56016080153778, 7.587155504802395;"{""coordinates"": [7.587155504802395, 47.56016080153778], ""type"": ""Point""}";198;Universität Basel, Dep. Mathematik und Informatik;Spiegelgasse;1;4051;Basel;BS;Erdgeschoss rechts, neben den Abfallsammelbehältern;Mo-Fr 0700 - 1900
47.558704299558755, 7.585361998381037;"{""coordinates"": [7.585361998381037, 47.558704299558755], ""type"": ""Point""}";200;Universität Basel, Departement Sprach- und Literaturwissenschaft, Deutsches Seminar;Nadelberg;4;4051;Basel;BS;Im Parterre, neben dem Haupteingang rechts hinter dem Wandvorsprung.;08:00 - 18:00 (Mo-Fr), während der Semesterferien: zugänglich von 9-17h (Mo-Fr)
47.55568909611119, 7.584954904250337;"{""coordinates"": [7.584954904250337, 47.55568909611119], ""type"": ""Point""}";203;Uni Basel Verwaltungsdirektion, HR;Steinengraben;5;4001;Basel;BS;2. Stock, beim Lift, vor HR Eingang;Mo - Fr 0700 - 1900 Uhr
47.57089703852264, 7.664762079156849;"{""coordinates"": [7.664762079156849, 47.57089703852264], ""type"": ""Point""}";207;Haltestelle Bettingen Dorf (Gemeinde Bettingen);Hauptstr.;85;4126;Bettingen;BS;An der Aussenmauer bei der Haltestelle;24/365
47.571083321307285, 7.663134075587005;"{""coordinates"": [7.663134075587005, 47.571083321307285], ""type"": ""Point""}";208;Gartenbad Bettingen;Brohegasse;15;4126;Bettingen;BS;Im Eingangsbereich gegenüber der Kasse an der Wand;Wenn das Gartenbad geöffnet ist
47.5743054013007, 7.608471195386565;"{""coordinates"": [7.608471195386565, 47.5743054013007], ""type"": ""Point""}";213;Tierpark Lange Erlen;Erlenparkweg;110;4058;Basel;BS;Neben dem Kiosk an der Wand;März - Oktober 08.00-18.00, November-Februar 08.00-17.00
47.557448615346416, 7.58284466457326;"{""coordinates"": [7.58284466457326, 47.557448615346416], ""type"": ""Point""}";281;Pädagogisches Zentrum PZ.BS, ICT Medien ED BS;Spalenvorstadt;14;4051;Basel;BS;Im Eingangsbereich des Mueshaus;Mo-Fr 0700-1600 Uhr
47.57964871937414, 7.645355180870942;"{""coordinates"": [7.645355180870942, 47.57964871937414], ""type"": ""Point""}";341;Schulhaus Burgstrasse Riehen;Burgstrasse;51;4125;Riehen;BS;Im Eingangsbereich zur Turnhalle auf der rechten Seite;Bei Schulbetrieb von 0700-1200 & 1400-1700
47.536068398995326, 7.609230606463316;"{""coordinates"": [7.609230606463316, 47.536068398995326], ""type"": ""Point""}";423;Coworking, Event Space und Café;Münchensteinerstrasse;274A;4053;Basel;BS;Bei Aussentoiletten, nahe Café Aussenbereich (beim Haupteingang links vorbei);24/365
47.54762418400011, 7.562180153696489;"{""coordinates"": [7.562180153696489, 47.54762418400011], ""type"": ""Point""}";441;Wohngenossenschaft Morgartenring, Furkastrasse 36 Hofseite;Furkastrasse;36;4054;Basel;BS;Beim Kellereingang;24/365
47.548964590992696, 7.561775826550632;"{""coordinates"": [7.561775826550632, 47.548964590992696], ""type"": ""Point""}";442;Wohngenossenschaft Morgartenring, Furkastrasse 70 Hofseite;Furkastrasse;70;4054;Basel;BS;Beim Kellereingang;24/365
47.55244334093353, 7.59507379372979;"{""coordinates"": [7.59507379372979, 47.55244334093353], ""type"": ""Point""}";445;Bau- und Verkehrsdepartement Basel Dufourstrasse 40;Dufourstrasse;40;4001;Basel;BS;Beim Haupteingang an der Aussenwand;24/365
47.55174129216121, 7.594150835499768;"{""coordinates"": [7.594150835499768, 47.55174129216121], ""type"": ""Point""}";451;Betreibungs- und Konkursamt Basel-Stadt;Aeschenvorstadt;56;4001;Basel;BS;1. OG im Betreibungsamt, Zutritt nur für MA;Mo-Fr 0730-1730 Uhr
47.573801750048375, 7.573382023657647;"{""coordinates"": [7.573382023657647, 47.573801750048375], ""type"": ""Point""}";470;Kultur und Gewerbehaus;Elsässerstrasse;215;4056;Basel;BS;Bei Haupteingang nach 10 Meter rechts an der Wand;0700-2300 Uhr
47.549321997388454, 7.587542003445;"{""coordinates"": [7.587542003445, 47.549321997388454], ""type"": ""Point""}";476;PureGym Fitness Club;Steinentorberg;59;4051;Basel;BS;Säule bei Rezeption im UG;0900-2200 Uhr
47.55568909611119, 7.584954904250337;"{""coordinates"": [7.584954904250337, 47.55568909611119], ""type"": ""Point""}";479;Anima Engineering AG;Steinengraben;5;4051;Basel;BS;5. Stock im Eingangsbereich;Mo-Fr 0800-1200, 1300-1700Uhr
47.58911999835791, 7.590650000446378;"{""coordinates"": [7.590650000446378, 47.58911999835791], ""type"": ""Point""}";501;Schweizerische Rheinhäfen;Hiltalingerstrasse;79;4057;Basel;BS;Bei der Revierzentrale melden +41 61 639 95 30;Mo-So 0500-2100
