geo_point_2d;geo_shape;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.55174816865183, 7.594604451442386;"{""coordinates"": [7.594604451442386, 47.55174816865183], ""type"": ""Point""}";16020;Verkauf Vignette Basel;Coop AESCHENPLATZ;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Aeschenvorstadt 75;4051;Basel;+41 (0) 61 270 94 00;;;Amt für Umwelt und Energie Basel-Stadt
47.55116814884334, 7.580449390714461;"{""coordinates"": [7.580449390714461, 47.55116814884334], ""type"": ""Point""}";16021;Verkauf Vignette Basel;Coop BACHLETTEN;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Steinenring 45;4051;Basel;+41 (0) 61 270 91 30;;;Amt für Umwelt und Energie Basel-Stadt
47.56513633344675, 7.617895588407255;"{""coordinates"": [7.617895588407255, 47.56513633344675], ""type"": ""Point""}";16023;Verkauf Vignette Basel;Coop BÄUMLIHOF;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Bäumlihofstrasse 132;4058;Basel;+41 (0) 61 606 96 00;;;Amt für Umwelt und Energie Basel-Stadt
47.56907991090038, 7.59053080543073;"{""coordinates"": [7.59053080543073, 47.56907991090038], ""type"": ""Point""}";16031;Verkauf Vignette Basel;Coop KLYBECK;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Klybeckstrasse 142;4057;Basel;+41 (0) 61 685 93 70;;;Amt für Umwelt und Energie Basel-Stadt
47.54657170262675, 7.5651142635877235;"{""coordinates"": [7.565114263587724, 47.54657170262675], ""type"": ""Point""}";16032;Verkauf Vignette Basel;Coop NEUWEILERPLATZ;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Holeestrasse 159;4054;Basel;+41 (0) 61 305 90 40;;;Amt für Umwelt und Energie Basel-Stadt
47.57065039414926, 7.573356308942606;"{""coordinates"": [7.573356308942606, 47.57065039414926], ""type"": ""Point""}";16035;Verkauf Vignette Basel;Coop VOLTA ZENTRUM;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Vogesenplatz 10;4056;Basel;+41 (0) 61 327 93 40;;;Amt für Umwelt und Energie Basel-Stadt
47.55725229831484, 7.5705700179037825;"{""coordinates"": [7.570570017903782, 47.55725229831484], ""type"": ""Point""}";16037;Verkauf Vignette Basel;K Kiosk Wartehalle BVB;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Allschwilerplatz 13;4055;Basel;+41 (0) 61 302 09 25;;;Amt für Umwelt und Energie Basel-Stadt
47.568890693305576, 7.5694479405905675;"{""coordinates"": [7.569447940590567, 47.568890693305576], ""type"": ""Point""}";16039;Verkauf Vignette Basel;K Kiosk LUZERNERRING;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Flughafenstrasse 67;4056;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.547136219545976, 7.6208737178308255;"{""coordinates"": [7.620873717830825, 47.547136219545976], ""type"": ""Point""}";16041;Verkauf Vignette Basel;K Kiosk REDING;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Lehenmattstrasse 260;4052;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.54766944514622, 7.589272722393646;"{""coordinates"": [7.589272722393646, 47.54766944514622], ""type"": ""Point""}";16042;Verkauf Vignette Basel;Migros BASEL BAHNHOF;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Centralbahnstrasse 10;4051;Basel;+41 (0) 58 575 84 00;;;Amt für Umwelt und Energie Basel-Stadt
47.56169939519076, 7.592397709241088;"{""coordinates"": [7.592397709241088, 47.56169939519076], ""type"": ""Point""}";16044;Verkauf Vignette Basel;Migros BASEL CLARAMARKT;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Ochsengasse 2;4058;Basel;+41 (0) 58 575 85 00;;;Amt für Umwelt und Energie Basel-Stadt
47.55597454203919, 7.58129524958332;"{""coordinates"": [7.58129524958332, 47.55597454203919], ""type"": ""Point""}";16052;Verkauf Vignette Basel;Migros BASEL SCHÜTZENMATT;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Schützenmattstrasse 27;4051;Basel;+41 (0) 58 575 86 20;;;Amt für Umwelt und Energie Basel-Stadt
47.5586540461586, 7.601636438859209;"{""coordinates"": [7.601636438859209, 47.5586540461586], ""type"": ""Point""}";16054;Verkauf Vignette Basel;Migros BASEL JUNIOR MARKT;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Grenzacherstrasse 62;4058;Basel;+41 (0) 58 575 88 40;;;Amt für Umwelt und Energie Basel-Stadt
47.56123967661597, 7.564793487646146;"{""coordinates"": [7.564793487646146, 47.56123967661597], ""type"": ""Point""}";16055;Verkauf Vignette Basel;Migros Partner WASGENRING;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Blotzheimerstrasse 61;4055;Basel;+41 (0) 58 575 87 90;;;Amt für Umwelt und Energie Basel-Stadt
47.560523309249916, 7.5722586153925775;"{""coordinates"": [7.572258615392577, 47.560523309249916], ""type"": ""Point""}";16062;Verkauf Vignette Basel;Apotheke Sonne;Verkauf von Sperr- und Grüngutvignetten;Hegenheimerstrasse 36;4055;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.55184465826287, 7.562354978644664;"{""coordinates"": [7.562354978644664, 47.55184465826287], ""type"": ""Point""}";16065;Verkauf Vignette Basel;Coop Wanderstrasse;Verkauf von Sperr- und Grüngutvignetten;Wanderstrasse 127;4054;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.570762706637325, 7.633093863117141;"{""coordinates"": [7.633093863117141, 47.570762706637325], ""type"": ""Point""}";16066;Verkauf Vignette Basel;Coop Riehen Rauracher;Verkauf von Sperr- und Grüngutvignetten;Rauracherstrasse 33;4125;Riehen;;;;Amt für Umwelt und Energie Basel-Stadt
47.56973280658442, 7.60364960935537;"{""coordinates"": [7.60364960935537, 47.56973280658442], ""type"": ""Point""}";16069;Verkauf Vignette Basel;Coop Erlenmatt;Verkauf von Sperr- und Grüngutvignetten;Erlenstrasse 81;4058;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.55560248083943, 7.590658626523558;"{""coordinates"": [7.590658626523558, 47.55560248083943], ""type"": ""Point""}";16070;Verkauf Vignette Basel;Coop City Pfauen Food;Verkauf von Sperr- und Grüngutvignetten;Freie Strasse 75;4051;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.58525990032652, 7.651686435548939;"{""coordinates"": [7.651686435548939, 47.58525990032652], ""type"": ""Point""}";17006;Verkauf Vignette Riehen und Bettingen;Migro MM, Riehen Dorf;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Webergässchen 8;4125;Riehen;;https://www.migros.ch/de.html;;Gemeinde Riehen
47.59387100323767, 7.655024107950146;"{""coordinates"": [7.655024107950146, 47.59387100323767], ""type"": ""Point""}";17002;Verkauf Vignette Riehen und Bettingen;Coop, Filiale Lörracher;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Lörracherstrasse 146;4125;Riehen;;http://www.coop.ch/de.html;;Gemeinde Riehen
47.571451521320796, 7.631218575064956;"{""coordinates"": [7.631218575064956, 47.571451521320796], ""type"": ""Point""}";17012;Verkauf Vignette Riehen und Bettingen;Kiosk Kreis, Yildiz;Verkauf von Kehricht-, Container- und Speergutmarken für Riehen und Bettingen;Rauracherstrasse 24;4125;Riehen;;;;Gemeinde Riehen
47.56877348156528, 7.590258425069846;"{""coordinates"": [7.590258425069846, 47.56877348156528], ""type"": ""Point""}";3012;Brauchbare Dinge;HIOB International;Secondhand Shop / Brockenhaus;Klybeckstrasse 91;4057;Basel;+41 (0) 61 683 23 60;;;Amt für Umwelt und Energie Basel-Stadt
47.54373047836899, 7.5946324164648225;"{""coordinates"": [7.594632416464822, 47.54373047836899], ""type"": ""Point""}";3014;Brauchbare Dinge;Rotes Kreuz;Secondhand Shop / Kleider und Bücher;Bruderholzstrasse 20;4053;Basel;+41 (0) 61 319 56 70;;;Amt für Umwelt und Energie Basel-Stadt
47.54427779631536, 7.588386366597235;"{""coordinates"": [7.588386366597235, 47.54427779631536], ""type"": ""Point""}";3017;Brauchbare Dinge;Zweifach;Secondhand Shop / Kleider und Velo;Sempacherstrasse 17;4053;Basel;+41 (0) 61 363 39 39;;;Amt für Umwelt und Energie Basel-Stadt
47.5547872972223, 7.589586194919501;"{""coordinates"": [7.589586194919501, 47.5547872972223], ""type"": ""Point""}";3023;Brauchbare Dinge;Flohmarkt Barfüsserplatz;Jeweils am 2. und 4. Mittwoch im Monat, von 07.00 - 19.00 Uhr / Anmeldung obligatorisch;Barfüsserplatz;4051;Basel;+41 (0) 61 267 70 43;http://www.marketing.bs.ch/messen-maerkte/basler-maerkte/flohmaerkte.html;;Amt für Umwelt und Energie Basel-Stadt
47.5588225894654, 7.6003386036970015;"{""coordinates"": [7.600338603697002, 47.5588225894654], ""type"": ""Point""}";3025;Brauchbare Dinge;Tischlein deck dich;Partyservice, Soziale Dienste, Second-Hand-Shop;Grenzacherstrasse 28;4058;Basel;+41 (0) 61 691 19 55;;;Amt für Umwelt und Energie Basel-Stadt
47.545452099571804, 7.587385699710537;"{""coordinates"": [7.587385699710537, 47.545452099571804], ""type"": ""Point""}";3027;Brauchbare Dinge;Second Floor;Second-Hand-Shop, Fachhandel;Güterstrasse 114;4053;Basel;+41 (0) 61 361 77 22;;;Amt für Umwelt und Energie Basel-Stadt
47.56792126338544, 7.5935436242584755;"{""coordinates"": [7.593543624258476, 47.56792126338544], ""type"": ""Point""}";3029;Brauchbare Dinge;Thomi Albert;Antiquariat / Buchhandlung / Secondhand Shop;Mörsbergerstrasse 48;4057;Basel;+41 (0) 61 692 69 25;;;Amt für Umwelt und Energie Basel-Stadt
47.548497904775395, 7.608796836268488;"{""coordinates"": [7.608796836268488, 47.548497904775395], ""type"": ""Point""}";3030;Brauchbare Dinge;Fotohaus Gellert;Foto-, Digital- und Filmfachgeschäft / Second-Hand-Shop;Hardstrasse 135;4052;Basel;+41 (0) 61 373 30 65;;;Amt für Umwelt und Energie Basel-Stadt
47.55675034927035, 7.587207775520129;"{""coordinates"": [7.587207775520129, 47.55675034927035], ""type"": ""Point""}";3036;Brauchbare Dinge;Anna K. First- und Secondhand Fashion;Second-Hand-Shop;Rümelinsplatz 15;4001;Basel;+41 (0) 61 261 62 64;;;Amt für Umwelt und Energie Basel-Stadt
47.56281657953735, 7.595993710433787;"{""coordinates"": [7.595993710433787, 47.56281657953735], ""type"": ""Point""}";3005;Brauchbare Dinge;Irma&Fred;Secondhand Shop / Brockenhaus;Claramattweg 16;4057;Basel;+41 (0) 61 701 41 41;https://irmaundfred.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.53582973075596, 7.608233105559626;"{""coordinates"": [7.608233105559626, 47.53582973075596], ""type"": ""Point""}";3039;Brauchbare Dinge;OFFCUT;Secondhand Gebrauchtmaterialien, Überschüsse, Produktionsabfälle und Resten;Lyonstrasse 11;4053;Basel;+41 (0) 61 331 06 36;https://www.offcut.ch/bs/de.html;;Amt für Umwelt und Energie Basel-Stadt
47.56739291792938, 7.589915456803557;"{""coordinates"": [7.589915456803557, 47.56739291792938], ""type"": ""Point""}";3035;Brauchbare Dinge;FETAG;Brocki;Oetlingerstrasse / Hinterhof 50;4057;Basel;+41 (0) 61 693 04 90;https://fetag.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.54276120338114, 7.595059820426282;"{""coordinates"": [7.595059820426282, 47.54276120338114], ""type"": ""Point""}";3045;Brauchbare Dinge;Cashtronic;An- und Verkauf von Smartphones, Notebooks, Tablets, Kameras, Spielkonsolen, Musikanlagen;Güterstrasse 213;4053;Basel;;https://www.cashtronic.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.553697623139705, 7.59142303336273;"{""coordinates"": [7.59142303336273, 47.553697623139705], ""type"": ""Point""}";3046;Brauchbare Dinge;revendo;An- und Verkauf von Smartphones und Apple-Computern;Steinenberg 5;4051;Basel;;https://revendo.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.54017715574944, 7.592431070899622;"{""coordinates"": [7.592431070899622, 47.54017715574944], ""type"": ""Point""}";3051;Brauchbare Dinge;Foodsharing;Öffentlicher Kühlschrank  zum Tauschen von geniessbaren Lebensmitteln;Gundeldingerstrasse 286;4053;Basel;;https://foodsharing.network/;;Amt für Umwelt und Energie Basel-Stadt
47.549224818067, 7.586979175065272;"{""coordinates"": [7.586979175065272, 47.549224818067], ""type"": ""Point""}";3053;Brauchbare Dinge;Flohmarkt;Regelmässig Flohmarktbetrieb gemäss Webseite;Steinentorberg 20;4051;Basel;;https://www.altemarkthalle.ch/portfolio/hallenflohmarkt/;;Amt für Umwelt und Energie Basel-Stadt
47.54396991495816, 7.594783636980309;"{""coordinates"": [7.594783636980309, 47.54396991495816], ""type"": ""Point""}";3054;Brauchbare Dinge;Remar;Brocki;Bruderholzstrasse 14;4053;Basel;;https://remar.ch/brockenhaeuser/;;Amt für Umwelt und Energie Basel-Stadt
47.561667134637595, 7.567846953240326;"{""coordinates"": [7.567846953240326, 47.561667134637595], ""type"": ""Point""}";4028;Brillen;Buena Vista;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Hegenheimerstrasse 107;4055;Basel;+41 (0) 78 648 99 19;;;Amt für Umwelt und Energie Basel-Stadt
47.56190377117163, 7.592122705180118;"{""coordinates"": [7.592122705180118, 47.56190377117163], ""type"": ""Point""}";4026;Brillen;Kochoptik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Teichgässlein 7;4058;Basel;+41 (0) 61 681 39 77;;;Amt für Umwelt und Energie Basel-Stadt
47.55130276122571, 7.588484347018372;"{""coordinates"": [7.588484347018372, 47.55130276122571], ""type"": ""Point""}";4022;Brillen;Zeender Optik GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Steinentorstrasse 33;4051;Basel;+41 (0) 61 281 68 77;;;Amt für Umwelt und Energie Basel-Stadt
47.5578212191187, 7.580718147199727;"{""coordinates"": [7.580718147199727, 47.5578212191187], ""type"": ""Point""}";4021;Brillen;Spalentor-Optik;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Missionsstrasse 1;4055;Basel;+41 (0) 61 261 29 58;;;Amt für Umwelt und Energie Basel-Stadt
47.55335524498729, 7.595233735297466;"{""coordinates"": [7.595233735297466, 47.55335524498729], ""type"": ""Point""}";4014;Brillen;Optometrie Thomas Hofmann;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Picassoplatz 4;4052;Basel;+41 (0) 61 271 57 27;;;Amt für Umwelt und Energie Basel-Stadt
47.552216620057706, 7.5939019054395835;"{""coordinates"": [7.593901905439584, 47.552216620057706], ""type"": ""Point""}";4010;Brillen;Messner Optik GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Aeschenvorstadt 57;4051;Basel;+41 (0) 61 271 16 86;;;Amt für Umwelt und Energie Basel-Stadt
47.54215813222078, 7.59706461193924;"{""coordinates"": [7.59706461193924, 47.54215813222078], ""type"": ""Point""}";4002;Brillen;Aebischer Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Güterstrasse 247;4053;Basel;+41 (0) 61 331 26 86;;;Amt für Umwelt und Energie Basel-Stadt
47.54325184215635, 7.594360796002084;"{""coordinates"": [7.594360796002084, 47.54325184215635], ""type"": ""Point""}";4001;Brillen;Tellplatz Optik GmbH;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Bruderholzstrasse 42;4053;Basel;+41 (0) 61 361 22 08;;;Amt für Umwelt und Energie Basel-Stadt
47.547557782647246, 7.622088801051796;"{""coordinates"": [7.622088801051796, 47.547557782647246], ""type"": ""Point""}";15007;Verkauf Chipkarte Bio Klappe Basel;SPAR Supermarkt Basel Birsstrasse;Verkauf und Aufladung von Chipkarten für die Bio-Klappen;Birsstrasse 200;4052;Basel;+41 (0) 61 312 56 40;https://www.spar.ch/standorte/detail/anton-gjergjaj;Gemäss Webseite;Amt für Umwelt und Energie Basel-Stadt
47.562992123760644, 7.597402461726252;"{""coordinates"": [7.597402461726252, 47.562992123760644], ""type"": ""Point""}";15008;Verkauf Chipkarte Bio Klappe Basel;Coop Vitality Europe;Verkauf und Aufladung von Chipkarten für die Bio-Klappen;Clarastrasse 41;4058;Basel;+41 58 878 82 40;https://www.coopvitality.ch/de/coop-vitality-basel-europe;Gemäss Webseite;Amt für Umwelt und Energie Basel-Stadt
47.54034632965555, 7.60256602291081;"{""coordinates"": [7.60256602291081, 47.54034632965555], ""type"": ""Point""}";5000;Druckertankstelle;Drucker Tankstelle Basel GmbH;Druckerpatronen werden wieder aufgefüllt;Güterstrasse 320;4053;Basel;+41 (0) 61 462 45 69;http://www.drucker-tankstelle.ch;;Amt für Umwelt und Energie Basel-Stadt
47.57334645326458, 7.568730504243681;"{""coordinates"": [7.568730504243681, 47.57334645326458], ""type"": ""Point""}";6000;Kehrichtverbrennung;KVA-Basel;Diverse brennbare Abfälle in grossen Mengen sowie Sonderabfälle;Hagenaustrasse 40;4056;Basel;+41 (0) 61 385 15 15;www.iwb.ch/Ueber-uns/Kehrichtverwertung.html;Mo-Fr: 06:30-17:00;Tiefbauamt Basel-Stadt
47.56809236022112, 7.601241281885202;"{""coordinates"": [7.601241281885202, 47.56809236022112], ""type"": ""Point""}";7015;Kleider und Textilien;Second Hand Knorli;Secondhand Shop, Brockenhaus / Babyartikel und mehr;Schönaustrasse 47;4058;Basel;+41 (0) 61 681 85 07;;;Amt für Umwelt und Energie Basel-Stadt
47.54427779631536, 7.588386366597235;"{""coordinates"": [7.588386366597235, 47.54427779631536], ""type"": ""Point""}";7016;Kleider und Textilien;Zweifach;Secondhand Shop / Kleider und Velo;Sempacherstrasse 17;4053;Basel;+41 (0) 61 363 39 39;;;Amt für Umwelt und Energie Basel-Stadt
47.54545289709034, 7.587380946540542;"{""coordinates"": [7.587380946540542, 47.54545289709034], ""type"": ""Point""}";7025;Kleider und Textilien;Second Floor;Second-Hand-Shop, Fachhandel;Güterstrasse 114;4053;Basel;+41 (0) 61 361 77 22;;;Amt für Umwelt und Energie Basel-Stadt
47.563931019394694, 7.591827217435378;"{""coordinates"": [7.591827217435378, 47.563931019394694], ""type"": ""Point""}";7003;Kleider und Textilien;Brocanthaus Bollig AG;Secondhand Shop, Brockenhaus;Klybeckstrasse 20;4057;Basel;+41 (0) 61 303 11 80;https://www.brocanthaus.com/;;Amt für Umwelt und Energie Basel-Stadt
47.54018504432782, 7.614718761039669;"{""coordinates"": [7.614718761039669, 47.54018504432782], ""type"": ""Point""}";7029;Kleider und Textilien;Brockenstube auf dem Wolf;Brockenstube;Auf dem Wolf 30;4052;Basel;061 311 01 01;www.brockiwolf.ch;;Amt für Umwelt und Energie Basel-Stadt
47.54373039726523, 7.594632535773009;"{""coordinates"": [7.594632535773009, 47.54373039726523], ""type"": ""Point""}";7013;Kleider und Textilien;Rotes Kreuz;Second-Hand-Laden - Annahme gemäss Merkblatt auf der Webseite;Bruderholzstrasse 20;4053;Basel;+41 (0) 61 319 56 70;https://www.srk-basel.ch/das-srk-basel-unterstuetzen/kleiderspenden;;Amt für Umwelt und Energie Basel-Stadt
47.56220479200909, 7.592456140984904;"{""coordinates"": [7.592456140984904, 47.56220479200909], ""type"": ""Point""}";7030;Kleider und Textilien;Rotkreuzladen;Second-Hand-Laden, Kleiderannahme gemäss Merkblatt auf der Webseite;Untere Rebgasse 17;4058;Basel;;https://www.srk-basel.ch/das-srk-basel-unterstuetzen/kleiderspenden;;Amt für Umwelt und Energie Basel-Stadt
47.56281657953735, 7.595993710433787;"{""coordinates"": [7.595993710433787, 47.56281657953735], ""type"": ""Point""}";7005;Kleider und Textilien;Brocki Irma&Fred;Secondhand Shop, Brockenhaus;Claramattweg 16;4057;Basel;+41 (0) 61 701 41 41;https://irmaundfred.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.55705920606217, 7.588105886063113;"{""coordinates"": [7.588105886063113, 47.55705920606217], ""type"": ""Point""}";7014;Kleider und Textilien;sahara SECONDHAND;Secondhand Shop;Gerbergasse 20/1;4001;Basel;+41 (0) 61 262 20 47;https://www.sahara-basel.ch/nachhaltig-einkaufen/secondhand/;;Amt für Umwelt und Energie Basel-Stadt
47.56507166947361, 7.58336990095764;"{""coordinates"": [7.58336990095764, 47.56507166947361], ""type"": ""Point""}";7036;Kleider und Textilien;Rhy Dressed;Secondhand-Boutique;St. Johanns-Vorstadt 74;4056;Basel;;https://rhy-dressed.business.site/;Siehe Webseite!;Amt für Umwelt und Energie Basel-Stadt
47.53673035179807, 7.608004836423802;"{""coordinates"": [7.608004836423802, 47.53673035179807], ""type"": ""Point""}";7038;Kleider und Textilien;Blaukreuz-Brockenhalle Basel;Secondhand Shop, Brockenhaus;Leimgrubenweg 9;4053;Basel;gemäss Webseite;https://www.brocki-jsw.ch/brockenhallen/basel;gemäss Webseite;Amt für Umwelt und Energie Basel-Stadt
47.539558125808455, 7.613828662013929;"{""coordinates"": [7.613828662013929, 47.539558125808455], ""type"": ""Point""}";8023;Kleidercontainer;Kleidercontainer - COOP - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Brüglingerstrasse 83;4052;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.57734443396876, 7.5922977000998655;"{""coordinates"": [7.592297700099865, 47.57734443396876], ""type"": ""Point""}";8018;Kleidercontainer;Kleidercontainer - BVB - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Wiesenstrasse 15;4057;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.53406292588169, 7.604668978571433;"{""coordinates"": [7.604668978571433, 47.53406292588169], ""type"": ""Point""}";8015;Kleidercontainer;Kleidercontainer - Migros - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Reinacherstrasse 202;4053;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.580684661848665, 7.653071996632625;"{""coordinates"": [7.653071996632625, 47.580684661848665], ""type"": ""Point""}";8000;Kleidercontainer;Kleidercontainer - Parkplatz - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Wenkenstrasse 33;4125;Riehen;;https://www.tell-tex.ch/;;Gemeinde Riehen
47.551983955594395, 7.638573956649782;"{""coordinates"": [7.638573956649782, 47.551983955594395], ""type"": ""Point""}";8022;Kleidercontainer;Waser Entsorgung AG;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7:30-11:45 und 13-16:45 (Fr bis 16:30) Sa 9-13;Langenhagstrasse 50;4127;Birsfelden;+41 (0) 61 313 48 24;http://www.waserag.ch;Öffnungszeiten des Recyclingparks auf der Webseite beachten;Amt für Umwelt und Energie Basel-Stadt
47.57690852991348, 7.591276766114233;"{""coordinates"": [7.591276766114233, 47.57690852991348], ""type"": ""Point""}";8026;Kleidercontainer;Kleidercontainer - COOP - Telltex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Inselstrasse 76;4057;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.57006183443461, 7.572899345223314;"{""coordinates"": [7.572899345223314, 47.57006183443461], ""type"": ""Point""}";8017;Kleidercontainer;Kleidercontainer - SBB - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Vogesenplatz Keine;4056;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.55365860862709, 7.5714579443014935;"{""coordinates"": [7.571457944301494, 47.55365860862709], ""type"": ""Point""}";9012;Korkzapfen;CAVA HISPANIA;Korkzapfen von Flaschen;Sennheimerstrasse 16;4054;Basel;+41 (0) 61 302 46 02;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.55836595815905, 7.5867184521405875;"{""coordinates"": [7.586718452140587, 47.55836595815905], ""type"": ""Point""}";9006;Korkzapfen;L'enoteca Liechti Weine;Korkzapfen von Flaschen;Schneidergasse 10;4051;Basel;+41 (0) 61 261 60 71;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.54449784046674, 7.61071475407626;"{""coordinates"": [7.61071475407626, 47.54449784046674], ""type"": ""Point""}";10001;Munition und Waffen;Zeughaus;Taschenmunition / Mo-Fr 7:30–12:00 + 13:30-16:00, Mi Nachmittag geschlossen, Do bis 18:00;Zeughausstrasse 2;4052;Basel;+41 (0) 61 316 72 50;http://www.rettung.bs.ch;;Amt für Umwelt und Energie Basel-Stadt
47.56677346612287, 7.576587797992419;"{""coordinates"": [7.576587797992419, 47.56677346612287], ""type"": ""Point""}";11015;Pneus;Giangreco;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Mülhauserstrasse 113;4056;Basel;+41 (0) 61 383 17 70;;;Amt für Umwelt und Energie Basel-Stadt
47.536887855561226, 7.606386638337812;"{""coordinates"": [7.606386638337812, 47.536887855561226], ""type"": ""Point""}";11014;Pneus;Centra-Garage AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Leimgrubenweg 14;4053;Basel;+41 (0) 61 338 66 11;;;Amt für Umwelt und Energie Basel-Stadt
47.536342641228515, 7.606817538833657;"{""coordinates"": [7.606817538833657, 47.536342641228515], ""type"": ""Point""}";11013;Pneus;Walter Ammann AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Frankfurt-Strasse;4053;Basel;+41 (0) 61 302 48 04;;;Amt für Umwelt und Energie Basel-Stadt
47.561395506797034, 7.573815624191574;"{""coordinates"": [7.573815624191574, 47.561395506797034], ""type"": ""Point""}";11011;Pneus;Pneuhaus Spalenring-Service F. Gysi;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Spalenring 6;4055;Basel;+41 (0) 61 381 65 75;;;Amt für Umwelt und Energie Basel-Stadt
47.56745304170954, 7.614889980964604;"{""coordinates"": [7.614889980964604, 47.56745304170954], ""type"": ""Point""}";11010;Pneus;Landhof-Garage AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Riehenstrasse 52-60;4058;Basel;+41 (0) 61 681 33 50;;;Amt für Umwelt und Energie Basel-Stadt
47.551983955594395, 7.638573956649782;"{""coordinates"": [7.638573956649782, 47.551983955594395], ""type"": ""Point""}";12004;Recyclingpark;Waser Entsorgung AG;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7:30-11:45 und 13-16:45 (Fr bis 16:30) Sa 9-13;Langenhagstrasse 50;4127;Birsfelden;+41 (0) 61 313 48 24;http://www.waserag.ch;;Amt für Umwelt und Energie Basel-Stadt
47.562437018007714, 7.551173201534229;"{""coordinates"": [7.551173201534229, 47.562437018007714], ""type"": ""Point""}";1020;Annahmestelle Sonderabfall;VEOLIA Umweltservice;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7-11:45 und 13-16:45, Sa 8-12:30;Kiesstrasse 24-26;4123;Allschwil;+41 (0) 61 487 21 00;http://www.veolia-es.ch/de/;;Amt für Umwelt und Energie Basel-Stadt
