politische_gemeinde;bfs_nr_gemeinde;bezirk_name;bezirk_nr;ortschaft;einwohner_total;einwohner_maenner;einwohner_frauen;einwohner_0_19;einwohner_20_39;einwohner_40_64;einwohner_65plus;einwohner_schweizer;einwohner_auslaender_total;einwohner_auslaender_deutsche;einwohner_evang;einwohner_kath;einwohner_uebrige
Aadorf;4551;Münchwilen;2014;Aawangen;52;22;30;11;10;22;9;x;x;x;28;8;16
Aadorf;4551;Münchwilen;2014;Guntershausen b. Aadorf;1493;757;736;311;322;587;273;1330;163;58;468;506;519
Aadorf;4551;Münchwilen;2014;Wittenwil;479;243;236;111;113;173;82;x;x;x;213;110;156
Aadorf;4551;Münchwilen;2014;Aadorf;5390;2697;2693;1100;1384;1735;1171;4274;1116;179;1586;1545;2259
Aadorf;4551;Münchwilen;2014;Ettenhausen;1415;712;703;305;314;533;263;1284;131;48;426;492;497
Aadorf;4551;Münchwilen;2014;Häuslenen;514;265;249;96;130;188;100;447;67;32;183;112;219
Affeltrangen;4711;Weinfelden;2015;Affeltrangen;1042;559;483;250;274;349;169;822;220;35;350;332;360
Affeltrangen;4711;Weinfelden;2015;Amlikon-Bissegg;102;50;52;22;24;44;12;x;x;x;50;27;25
Affeltrangen;4711;Weinfelden;2015;Märwil;1158;605;553;299;298;405;156;942;216;32;446;341;371
Affeltrangen;4711;Weinfelden;2015;Tobel;40;20;20;10;7;13;10;x;x;x;6;25;9
Affeltrangen;4711;Weinfelden;2015;Zezikon;214;102;112;33;46;91;44;197;17;10;95;53;66
Affeltrangen;4711;Weinfelden;2015;Buch b. Märwil;127;62;65;28;28;45;26;118;9;x;53;45;29
Altnau;4641;Kreuzlingen;2013;Altnau;2318;1130;1188;509;506;899;404;1823;495;307;811;696;811
Amlikon-Bissegg;4881;Weinfelden;2015;Amlikon-Bissegg;1350;705;645;260;321;521;248;1201;149;66;559;299;492
Amlikon-Bissegg;4881;Weinfelden;2015;Bonau;x;x;x;x;x;x;x;x;x;x;x;x;x
Amriswil;4461;Arbon;2011;Amriswil;12589;6269;6320;2577;3679;4019;2314;8242;4347;555;2916;3653;6020
Amriswil;4461;Arbon;2011;Biessenhofen;147;76;71;35;33;61;18;127;20;x;59;52;36
Amriswil;4461;Arbon;2011;Hagenwil b. Amriswil;132;68;64;29;40;44;19;122;10;x;13;101;18
Amriswil;4461;Arbon;2011;Oberaach;954;501;453;236;251;348;119;710;244;43;316;230;408
Amriswil;4461;Arbon;2011;Schocherswil;401;195;206;76;100;143;82;366;35;10;175;83;143
Arbon;4401;Arbon;2011;Frasnacht;1300;676;624;291;254;542;213;1008;292;88;327;438;535
Arbon;4401;Arbon;2011;Arbon;12909;6420;6489;2403;3216;4517;2773;8336;4573;881;2654;3819;6436
Arbon;4401;Arbon;2011;Stachen;914;467;447;200;228;324;162;712;202;71;265;307;342
Basadingen-Schlattingen;4536;Frauenfeld;2012;Unterstammheim;x;x;x;x;x;x;x;x;x;x;x;x;x
Basadingen-Schlattingen;4536;Frauenfeld;2012;Schlattingen;772;409;363;161;175;300;136;641;131;30;328;135;309
Basadingen-Schlattingen;4536;Frauenfeld;2012;Basadingen;1063;532;531;211;230;413;209;900;163;56;391;268;404
Berg;4891;Weinfelden;2015;Graltshausen;102;55;47;20;25;38;19;88;14;10;50;28;24
Berg;4891;Weinfelden;2015;Mauren;497;283;214;103;119;213;62;417;80;23;266;100;131
Berg;4891;Weinfelden;2015;Weinfelden;20;10;10;x;x;7;x;x;x;x;x;x;x
Berg;4891;Weinfelden;2015;Andhausen;212;107;105;57;58;79;18;189;23;8;109;54;49
Berg;4891;Weinfelden;2015;Guntershausen b. Berg;156;74;82;24;33;60;39;x;x;x;64;21;71
Berg;4891;Weinfelden;2015;Berg;2436;1208;1228;569;555;862;450;2062;374;166;1063;669;704
Berg;4891;Weinfelden;2015;Opfershofen;16;10;6;x;x;8;x;x;x;x;x;x;x
Berlingen;4801;Frauenfeld;2012;Berlingen;926;469;457;131;168;352;275;682;244;178;382;202;342
Bettwiesen;4716;Münchwilen;2014;Bettwiesen;1250;656;594;247;358;451;194;973;277;52;266;507;477
Bichelsee-Balterswil;4721;Münchwilen;2014;Balterswil;1995;1044;951;477;475;739;304;1739;256;84;513;714;768
Bichelsee-Balterswil;4721;Münchwilen;2014;Bichelsee;1017;516;501;203;225;367;222;936;81;32;335;337;345
Birwinken;4901;Weinfelden;2015;Andwil;488;249;239;115;114;178;81;422;66;32;223;82;183
Birwinken;4901;Weinfelden;2015;Birwinken;175;92;83;30;39;71;35;158;17;x;88;27;60
Birwinken;4901;Weinfelden;2015;Buch b. Kümmertshausen;55;23;32;13;10;22;10;x;x;x;x;x;19
Birwinken;4901;Weinfelden;2015;Klarsreuti;82;32;50;31;11;27;13;x;x;x;x;x;39
Birwinken;4901;Weinfelden;2015;Happerswil;170;90;80;34;38;65;33;158;12;8;99;18;53
Birwinken;4901;Weinfelden;2015;Mattwil;360;183;177;73;93;128;66;282;78;38;128;85;147
Bischofszell;4471;Weinfelden;2015;Bischofszell;5397;2739;2658;1086;1417;1872;1022;3921;1476;247;1408;1832;2157
Bischofszell;4471;Weinfelden;2015;Halden;254;126;128;51;60;89;54;224;30;x;82;98;74
Bischofszell;4471;Weinfelden;2015;Schweizersholz;303;163;140;74;70;104;55;277;26;x;119;93;91
Bottighofen;4643;Kreuzlingen;2013;Bottighofen;2592;1301;1291;492;522;980;598;1656;936;703;832;660;1100
Braunau;4723;Münchwilen;2014;Braunau;810;415;395;178;220;294;118;726;84;31;279;278;253
Bürglen;4911;Weinfelden;2015;Istighofen;612;318;294;101;178;246;87;439;173;38;175;208;229
Bürglen;4911;Weinfelden;2015;Bürglen;2960;1491;1469;564;917;966;513;1957;1003;178;764;780;1416
Bürglen;4911;Weinfelden;2015;Leimbach;301;154;147;66;63;120;52;271;30;21;114;51;136
Bürglen;4911;Weinfelden;2015;Opfershofen;106;58;48;23;30;29;24;93;13;8;60;11;35
Bussnang;4921;Weinfelden;2015;Istighofen;35;22;13;x;10;16;x;x;x;x;x;x;x
Bussnang;4921;Weinfelden;2015;Lanterswil;103;53;50;15;29;46;13;x;x;x;34;22;47
Bussnang;4921;Weinfelden;2015;Rothenhausen;539;278;261;112;158;200;69;448;91;29;230;101;208
Bussnang;4921;Weinfelden;2015;Bussnang;573;298;275;127;171;177;98;412;161;73;223;135;215
Bussnang;4921;Weinfelden;2015;Friltschen;340;168;172;101;91;110;38;310;30;14;170;65;105
Bussnang;4921;Weinfelden;2015;Mettlen;540;276;264;131;151;183;75;452;88;39;182;186;172
Bussnang;4921;Weinfelden;2015;Märwil;x;x;x;x;x;x;x;x;x;x;x;x;x
Bussnang;4921;Weinfelden;2015;Stehrenberg;103;54;49;34;32;30;7;x;x;x;46;49;8
Bussnang;4921;Weinfelden;2015;Oberbussnang;110;57;53;21;21;46;22;102;8;x;50;25;35
Bussnang;4921;Weinfelden;2015;Oppikon;146;81;65;31;44;45;26;127;19;x;56;56;34
Bussnang;4921;Weinfelden;2015;Schmidshof;44;23;21;x;10;20;x;x;x;x;x;x;x
Diessenhofen;4545;Frauenfeld;2012;Diessenhofen;3955;2018;1937;749;1028;1342;836;2444;1511;278;1063;1261;1631
Diessenhofen;4545;Frauenfeld;2012;Schlatt;x;x;x;x;x;x;x;x;x;x;x;x;x
Diessenhofen;4545;Frauenfeld;2012;Willisdorf;143;71;72;27;26;51;39;120;23;14;66;31;46
Dozwil;4406;Arbon;2011;Dozwil;685;353;332;166;137;244;138;570;115;36;187;168;330
Egnach;4411;Arbon;2011;Egnach;2101;1061;1040;475;502;767;357;1749;352;105;782;603;716
Egnach;4411;Arbon;2011;Neukirch (Egnach);1678;852;826;352;393;621;312;1494;184;59;667;466;545
Egnach;4411;Arbon;2011;Steinebrunn;662;354;308;158;155;250;99;562;100;38;242;211;209
Egnach;4411;Arbon;2011;Winden;361;178;183;89;90;126;56;333;28;7;162;97;102
Erlen;4476;Weinfelden;2015;Kümmertshausen;269;130;139;60;55;105;49;235;34;18;127;40;102
Erlen;4476;Weinfelden;2015;Riedt b. Erlen;999;505;494;270;278;339;112;727;272;63;314;269;416
Erlen;4476;Weinfelden;2015;Buchackern;169;91;78;40;43;61;25;153;16;15;66;46;57
Erlen;4476;Weinfelden;2015;Engishofen;206;104;102;46;62;68;30;183;23;11;113;37;56
Erlen;4476;Weinfelden;2015;Ennetaach;281;137;144;66;82;86;47;211;70;19;77;95;109
Erlen;4476;Weinfelden;2015;Erlen;1914;985;929;431;505;692;286;1286;628;116;512;556;846
Erlen;4476;Weinfelden;2015;Heldswil;x;x;x;x;x;x;x;x;x;x;x;x;x
Ermatingen;4646;Kreuzlingen;2013;Ermatingen;3257;1616;1641;593;655;1260;749;2193;1064;735;1148;835;1274
Ermatingen;4646;Kreuzlingen;2013;Triboltingen;471;233;238;79;114;189;89;336;135;106;183;119;169
Eschenz;4806;Frauenfeld;2012;Eschenz;1889;959;930;353;393;731;412;1516;373;171;604;578;707
Eschlikon;4724;Münchwilen;2014;Sirnach;x;x;x;x;x;x;x;x;x;x;x;x;x
Eschlikon;4724;Münchwilen;2014;Eschlikon;3401;1698;1703;638;1005;1109;649;2887;514;120;1078;1085;1238
Eschlikon;4724;Münchwilen;2014;Wallenwil;1328;687;641;295;360;466;207;1174;154;48;433;446;449
Felben-Wellhausen;4561;Frauenfeld;2012;Frauenfeld;x;x;x;x;x;x;x;x;x;x;x;x;x
Felben-Wellhausen;4561;Frauenfeld;2012;Felben-Wellhausen;2963;1538;1425;622;780;1052;509;2342;621;143;996;854;1113
Fischingen;4726;Münchwilen;2014;Au;134;67;67;43;36;41;14;128;6;x;24;85;25
Fischingen;4726;Münchwilen;2014;Dussnang;1307;653;654;278;292;474;263;1201;106;38;383;516;408
Fischingen;4726;Münchwilen;2014;Oberwangen;789;403;386;185;195;280;129;738;51;22;239;349;201
Fischingen;4726;Münchwilen;2014;Schmidrüti (ZH);49;27;22;x;x;x;x;x;x;x;x;x;x
Fischingen;4726;Münchwilen;2014;Sternenberg (ZH);15;7;8;x;x;x;x;x;x;x;x;x;x
Fischingen;4726;Münchwilen;2014;Fischingen;457;240;217;96;139;148;74;389;68;32;83;231;143
Fischingen;4726;Münchwilen;2014;Wiezikon b. Sirnach;108;56;52;25;27;33;23;98;10;x;37;42;29
Frauenfeld;4566;Frauenfeld;2012;Gerlikon;513;261;252;x;x;188;113;488;25;x;257;102;154
Frauenfeld;4566;Frauenfeld;2012;Frauenfeld;25263;12344;12919;4790;7201;8300;4972;19014;6249;851;7695;7902;9666
Frauenfeld;4566;Frauenfeld;2012;Matzingen;40;24;16;x;x;18;14;31;9;x;13;7;20
Gachnang;4571;Frauenfeld;2012;Frauenfeld;1086;565;521;234;307;375;170;939;147;38;467;254;365
Gachnang;4571;Frauenfeld;2012;Kefikon;504;263;241;96;140;207;61;423;81;18;192;82;230
Gachnang;4571;Frauenfeld;2012;Gachnang;1525;756;769;364;346;573;242;1374;151;80;696;376;453
Gachnang;4571;Frauenfeld;2012;Islikon;1392;696;696;288;363;460;281;1106;286;46;538;362;492
Gottlieben;4651;Kreuzlingen;2013;Gottlieben;335;168;167;57;62;142;74;182;153;131;106;97;132
Güttingen;4656;Kreuzlingen;2013;Güttingen;1688;870;818;333;354;643;358;1333;355;232;596;461;631
Hauptwil-Gottshaus;4486;Weinfelden;2015;St. Pelagiberg;396;191;205;95;109;130;62;358;38;16;97;178;121
Hauptwil-Gottshaus;4486;Weinfelden;2015;Wilen (Gottshaus);294;154;140;73;77;101;43;278;16;x;80;124;90
Hauptwil-Gottshaus;4486;Weinfelden;2015;Bischofszell;109;55;54;31;21;37;20;102;7;x;54;21;34
Hauptwil-Gottshaus;4486;Weinfelden;2015;Hauptwil;1233;656;577;264;339;420;210;1091;142;60;352;413;468
Hefenhofen;4416;Arbon;2011;Hefenhofen;1321;666;655;269;356;522;174;1113;208;72;435;402;484
Herdern;4811;Frauenfeld;2012;Herdern;636;329;307;128;139;264;105;562;74;x;244;158;234
Herdern;4811;Frauenfeld;2012;Hüttwilen;x;x;x;x;x;x;x;x;x;x;x;x;x
Herdern;4811;Frauenfeld;2012;Lanzenneunforn;455;230;225;91;100;191;73;403;52;36;144;149;162
Herdern;4811;Frauenfeld;2012;Weiningen;x;x;x;x;x;x;x;x;x;x;x;x;x
Hohentannen;4495;Weinfelden;2015;Heldswil;282;145;137;65;72;117;28;244;38;10;118;77;87
Hohentannen;4495;Weinfelden;2015;Hohentannen;370;189;181;73;117;136;44;345;25;14;145;105;120
Homburg;4816;Frauenfeld;2012;Homburg;853;410;443;190;175;308;180;780;73;41;335;289;229
Homburg;4816;Frauenfeld;2012;Hörhausen;699;349;350;165;150;247;137;642;57;30;297;206;196
Horn;4421;Arbon;2011;Horn;2882;1432;1450;456;654;1100;672;2353;529;222;686;1064;1132
Hüttlingen;4590;Frauenfeld;2012;Harenwilen;61;30;31;14;14;22;11;x;x;x;37;16;8
Hüttlingen;4590;Frauenfeld;2012;Mettendorf;339;180;159;76;72;120;71;303;36;15;144;64;131
Hüttlingen;4590;Frauenfeld;2012;Eschikofen;189;103;86;30;40;85;34;x;x;x;87;33;69
Hüttlingen;4590;Frauenfeld;2012;Hüttlingen;244;128;116;55;55;89;45;213;31;8;124;34;86
Hüttwilen;4821;Frauenfeld;2012;Hüttwilen;1079;537;542;256;213;410;200;956;123;55;425;270;384
Hüttwilen;4821;Frauenfeld;2012;Nussbaumen;538;270;268;130;85;215;108;496;42;x;282;78;178
Hüttwilen;4821;Frauenfeld;2012;Uerschhausen;109;59;50;22;24;42;21;94;15;x;58;20;31
Hüttwilen;4821;Frauenfeld;2012;Herdern;x;x;x;x;x;x;x;x;x;x;x;x;x
Kemmental;4666;Kreuzlingen;2013;Dotnacht;296;151;145;51;65;121;59;264;32;14;134;51;111
Kemmental;4666;Kreuzlingen;2013;Siegershausen;559;287;272;107;134;193;125;432;127;54;245;138;176
Kemmental;4666;Kreuzlingen;2013;Alterswilen;261;133;128;67;61;101;32;208;53;35;118;43;100
Kemmental;4666;Kreuzlingen;2013;Altishausen;189;103;86;43;46;65;35;159;30;18;82;39;68
Kemmental;4666;Kreuzlingen;2013;Ellighausen;152;76;76;31;40;64;17;112;40;25;57;39;56
Kemmental;4666;Kreuzlingen;2013;Hugelshofen;429;221;208;98;101;165;65;380;49;28;214;66;149
Kemmental;4666;Kreuzlingen;2013;Lippoldswilen;168;88;80;48;29;73;18;133;35;29;87;32;49
Kemmental;4666;Kreuzlingen;2013;Neuwilen;570;295;275;129;135;220;86;427;143;80;215;137;218
Kesswil;4426;Arbon;2011;Kesswil;994;474;520;220;172;365;237;811;183;74;416;237;341
Kradolf-Schönenberg;4501;Weinfelden;2015;Neukirch an der Thur;472;230;242;108;108;183;73;440;32;24;218;110;144
Kradolf-Schönenberg;4501;Weinfelden;2015;Buhwil;322;155;167;71;64;137;50;304;18;7;139;66;117
Kradolf-Schönenberg;4501;Weinfelden;2015;Kradolf;1441;771;670;258;453;465;265;924;517;93;373;363;705
Kradolf-Schönenberg;4501;Weinfelden;2015;Schönenberg an der Thur;1411;726;685;285;389;485;252;1053;358;75;443;380;588
Kreuzlingen;4671;Kreuzlingen;2013;Bottighofen;x;x;x;x;x;x;x;x;x;x;x;x;x
Kreuzlingen;4671;Kreuzlingen;2013;Kreuzlingen;22528;11361;11167;4033;6267;7905;4323;10051;12477;6822;4466;6126;11936
Langrickenbach;4681;Kreuzlingen;2013;Herrenhof;243;119;124;73;61;81;28;183;60;46;107;56;80
Langrickenbach;4681;Kreuzlingen;2013;Kümmertshausen;x;x;x;x;x;x;x;x;x;x;x;x;x
Langrickenbach;4681;Kreuzlingen;2013;Langrickenbach;626;323;303;134;150;255;87;547;79;47;280;126;220
Langrickenbach;4681;Kreuzlingen;2013;Schönenbaumgarten;153;81;72;17;36;69;31;123;30;26;65;31;57
Langrickenbach;4681;Kreuzlingen;2013;Zuben;361;186;175;85;98;126;52;286;75;55;136;99;126
Lengwil;4683;Kreuzlingen;2013;Illighausen;409;199;210;77;81;187;64;322;87;71;145;116;148
Lengwil;4683;Kreuzlingen;2013;Lengwil;570;282;288;119;174;200;77;336;234;137;161;132;277
Lengwil;4683;Kreuzlingen;2013;Oberhofen;546;279;267;140;94;216;96;438;108;61;210;124;212
Lengwil;4683;Kreuzlingen;2013;Dettighofen (Lengwil);196;100;96;47;37;73;39;144;52;38;89;29;78
Lommis;4741;Münchwilen;2014;Weingarten-Kalthäusern;431;215;216;84;91;177;79;403;28;12;170;105;156
Lommis;4741;Münchwilen;2014;Lommis;827;425;402;191;200;315;121;691;136;24;199;309;319
Mammern;4826;Frauenfeld;2012;Eschenz;x;x;x;x;x;x;x;x;x;x;x;x;x
Mammern;4826;Frauenfeld;2012;Mammern;686;352;334;140;144;274;128;492;194;87;227;198;261
