politische_gemeinde;bfs_nr;bezirk_bezeichnung;bezirk_nr;siedlung;einwohner_per_31_12_2021;plz;ortschaft;primarschulgemeinde;sekundarschulgemeinde;evang_kirchgemeinde;kath_kirchgemeinde
Affeltrangen;4711;Weinfelden;2015;Nägelishueb;8;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Oberlangnau;17;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Riethof;x;9556;Zezikon;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Rietwis;10;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Rüti;13;9562;Märwil;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Rütihof;6;9562;Buch b. Märwil;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Sonnenhof (Affeltrangen);x;9556;Affeltrangen;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Sonnenhof (Märwil);x;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Towag;7;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Bussnang
Affeltrangen;4711;Weinfelden;2015;Wildern;6;9556;Zezikon;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Zezikon;199;9556;Zezikon;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Altnau;4641;Kreuzlingen;2013;Chappeli;186;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Hermannshof;x;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Laubacker;x;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Neuwinkeln;x;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Oberdorf;194;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Ruderbaum;14;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Seealp;6;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Altnau;4641;Kreuzlingen;2013;Seewise;x;8595;Altnau;Altnau;Altnau;Altnau;Altnau-Güttingen-Münsterlingen
Amlikon-Bissegg;4881;Weinfelden;2015;Amlikon;523;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Bussnang
Amlikon-Bissegg;4881;Weinfelden;2015;Bissegg;83;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Bussnang
Amlikon-Bissegg;4881;Weinfelden;2015;Blatten;x;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Eutenberg;17;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Amlikon-Bissegg;4881;Weinfelden;2015;Griesenberg;20;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Hofen;20;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Hub;22;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Strohwilen;88;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Thunbachtal;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Tümpfel;12;8514;Amlikon-Bissegg;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Leutmerken
Amlikon-Bissegg;4881;Weinfelden;2015;Wolfikon;86;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Thunbachtal;Leutmerken
Amriswil;4461;Arbon;2011;Bergermüli;6;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Hagenwil
Amriswil;4461;Arbon;2011;Bilche;9;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Eichmühle;x;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Hagenwil;125;8580;Hagenwil b. Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Hagenwil
Amriswil;4461;Arbon;2011;Hüsli;77;8587;Oberaach;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Lampersbüel;19;8587;Oberaach;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Sommeri
Amriswil;4461;Arbon;2011;Mühlebach;983;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Niederaach;49;8587;Oberaach;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Sommeri
Amriswil;4461;Arbon;2011;Oberau;6;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Hagenwil
Amriswil;4461;Arbon;2011;Rank;6;8581;Schocherswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Rebhalde;80;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Rebhüsli;8;8580;Biessenhofen;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Amriswil
Amriswil;4461;Arbon;2011;Schmittewise;x;8580;Amriswil;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Steinebrunn
Amriswil;4461;Arbon;2011;Wachthütte;x;8587;Oberaach;Amriswil-Hefenhofen-Sommeri;Amriswil-Hefenhofen-Sommeri;Amriswil-Sommeri;Sommeri
Arbon;4401;Arbon;2011;Bleichi;199;9320;Arbon;Arbon;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Buchhorn;28;9320;Frasnacht;Frasnacht;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Chratzere;40;9320;Frasnacht;Frasnacht;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Feile;403;9320;Stachen;Stachen;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Frasnacht;384;9320;Frasnacht;Frasnacht;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Landquart;x;9320;Arbon;Arbon;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Reben Nord;353;9320;Arbon;Arbon;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Salwiese;137;9320;Arbon;Arbon;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Scheidweg;335;9320;Frasnacht;Frasnacht;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Seemoosriet;862;9320;Arbon;Arbon;Arbon;Arbon;Arbon
Arbon;4401;Arbon;2011;Stadelägger;28;9320;Stachen;Stachen;Arbon;Arbon;Arbon
Basadingen-Schlattingen;4536;Frauenfeld;2012;Basadingen;999;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Belzhalden;12;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Chalchofe;12;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Egg;x;8255;Schlattingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Eschenbuck;x;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Heerenweg;x;8255;Schlattingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Horbi;8;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Müllerswies;x;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Styghalde;x;8476;Unterstammheim;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Basadingen-Schlattingen;4536;Frauenfeld;2012;Waldesruh;x;8254;Basadingen;Region Diessenhofen;Region Diessenhofen;Basadingen-Schlattingen-Willisdorf;Basadingen
Berg;4891;Weinfelden;2015;Alpenblick;x;8576;Mauren;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Andhausen;212;8572;Andhausen;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Graltshausen;75;8572;Graltshausen;Kemmental;Kemmental;Alterswilen-Hugelshofen;Berg
Berg;4891;Weinfelden;2015;Guntershausen bei Berg;156;8572;Guntershausen b. Berg;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Heimenlachen;15;8572;Berg;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Höggershard;x;8570;Weinfelden;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Lantershof;12;8572;Berg;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Mühletobel;x;8584;Opfershofen;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berg;4891;Weinfelden;2015;Oberopfershofen (Gemeinde Berg);6;8584;Opfershofen;Berg-Birwinken;Berg-Birwinken;Berg;Berg
Berlingen;4801;Frauenfeld;2012;Enge;22;8267;Berlingen;Berlingen;Steckborn;Berlingen;Steckborn
Berlingen;4801;Frauenfeld;2012;Eschlibach;8;8267;Berlingen;Berlingen;Steckborn;Berlingen;Steckborn
Berlingen;4801;Frauenfeld;2012;Lochmüli;x;8267;Berlingen;Berlingen;Steckborn;Berlingen;Steckborn
Bettwiesen;4716;Münchwilen;2014;Bettwiesen Dorf;350;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Im Grund;149;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Schlössli;8;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Sonnenhalde;118;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Sonnenhof;x;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Stägenacker;109;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bettwiesen;4716;Münchwilen;2014;Vogelhärd;x;9553;Bettwiesen;Bettwiesen;Affeltrangen;Affeltrangen-Braunau-Märwil;Bettwiesen
Bichelsee-Balterswil;4721;Münchwilen;2014;Bichelsee;781;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Duggisholz;x;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Horn;x;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Höhenacker;x;8362;Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Itaslen;180;8362;Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Niederwies;20;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Rietwies;6;8362;Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Schüürli;x;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Steig;16;8363;Bichelsee;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Bichelsee-Balterswil;4721;Münchwilen;2014;Zielwies;9;8362;Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee-Balterswil;Bichelsee
Birwinken;4901;Weinfelden;2015;Birwinken;164;8585;Birwinken;Berg-Birwinken;Berg-Birwinken;Langrickenbach-Birwinken;Berg
Birwinken;4901;Weinfelden;2015;Guggenbühl;39;8586;Andwil;Erlen;Erlen;Andwil;Sulgen
Birwinken;4901;Weinfelden;2015;Happerswil;170;8585;Happerswil;Berg-Birwinken;Berg-Birwinken;Langrickenbach-Birwinken;Altnau-Güttingen-Münsterlingen
Birwinken;4901;Weinfelden;2015;Klarsreuti;78;8585;Klarsreuti;Berg-Birwinken;Berg-Birwinken;Langrickenbach-Birwinken;Altnau-Güttingen-Münsterlingen
Birwinken;4901;Weinfelden;2015;Mattwil;351;8585;Mattwil;Berg-Birwinken;Berg-Birwinken;Langrickenbach-Birwinken;Berg
Birwinken;4901;Weinfelden;2015;Scherrersholz;11;8585;Birwinken;Berg-Birwinken;Berg-Birwinken;Langrickenbach-Birwinken;Berg
Bischofszell;4471;Weinfelden;2015;Buch;x;9223;Schweizersholz;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Entetswil;24;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Gloggershaus;x;9223;Schweizersholz;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Hasleren;35;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Katzensteig;11;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Kenzenau;28;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Ober Leuenhaus;x;9223;Schweizersholz;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Rietwiese;74;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Sattelbogen;118;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Schweizersholz;24;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Bischofszell, Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Städeli;9;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Tümpfel;x;9223;Schweizersholz;Bischofszell;Bischofszell;Sulgen-Kradolf;Sulgen
Bischofszell;4471;Weinfelden;2015;Unter Ghögg;x;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Unter Heuberg;x;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Waldegg;x;9220;Bischofszell;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Bischofszell
Bischofszell;4471;Weinfelden;2015;Waldplatz;8;9223;Schweizersholz;Bischofszell;Bischofszell;Neukirch an der Thur;Bischofszell, Heiligkreuz
Bischofszell;4471;Weinfelden;2015;Waldruh;x;9223;Halden;Bischofszell;Bischofszell;Bischofszell-Hauptwil;Heiligkreuz
Bottighofen;4643;Kreuzlingen;2013;Chli Rigi;x;8598;Bottighofen;Bottighofen;Kreuzlingen;Scherzingen-Bottighofen;Altnau-Güttingen-Münsterlingen
Bottighofen;4643;Kreuzlingen;2013;Rüti;6;8598;Bottighofen;Bottighofen;Kreuzlingen;Scherzingen-Bottighofen;Altnau-Güttingen-Münsterlingen
Braunau;4723;Münchwilen;2014;Bühl;x;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Dänental;7;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Ebnet;66;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Ebnetwies;51;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Friedberg;88;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Hitzliwies;x;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Hof;10;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Hohrüti;x;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Kirchensteig;41;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Oberhausen;33;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Oberhof;27;9502;Braunau;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Riedern;x;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Riethüsli;10;9502;Braunau;Braunau;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Braunau;4723;Münchwilen;2014;Zenzishüsli;x;9502;Braunau;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Bussnang;4921;Weinfelden;2015;Aspenhof;x;8575;Istighofen;Bürglen;Bürglen;Bussnang-Leutmerken;Wertbühl
Bussnang;4921;Weinfelden;2015;Bussnang;546;9565;Bussnang;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Eppenstein;15;9565;Oppikon;Lauchetal;Affeltrangen;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Feldhof;x;9562;Märwil;Regio Märwil;Affeltrangen;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Freudenberg;x;8575;Istighofen;Nollen;Nollen;Schönholzerswilen;Wertbühl
Bussnang;4921;Weinfelden;2015;Hard;x;9565;Rothenhausen;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;In der Egg;6;9517;Mettlen;Bürglen;Bürglen;Bussnang-Leutmerken;Wertbühl
Bussnang;4921;Weinfelden;2015;Kaa;x;9517;Mettlen;Nollen;Nollen;Schönholzerswilen;Wertbühl
Bussnang;4921;Weinfelden;2015;Lindenhof (Rothenhausen);x;9565;Rothenhausen;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Mooswiesen;x;9565;Oppikon;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Oberbussnang;88;9565;Oberbussnang;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Puppikon;46;9565;Rothenhausen;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Reuti;64;9517;Mettlen;Bürglen;Bürglen;Bussnang-Leutmerken;Wertbühl
Bussnang;4921;Weinfelden;2015;Rothenhausen;470;9565;Rothenhausen;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Stehrenberg;66;9503;Stehrenberg;Regio Märwil;Affeltrangen;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Unteroppikon;91;9565;Oppikon;Amlikon-Holzhäusern;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Waldhof;x;9565;Bussnang;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Wart;12;9504;Friltschen;Regio Märwil;Affeltrangen;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Weingarten;88;9504;Friltschen;Regio Märwil;Affeltrangen;Bussnang-Leutmerken;Bussnang
Bussnang;4921;Weinfelden;2015;Wiedenhof;x;9517;Mettlen;Nollen;Nollen;Schönholzerswilen;Wertbühl
Bussnang;4921;Weinfelden;2015;Zu Allen Winden;x;9565;Rothenhausen;Bussnang-Rothenhausen;Weinfelden;Bussnang-Leutmerken;Bussnang
Bürglen;4911;Weinfelden;2015;Chrummbach;13;8584;Opfershofen;Bürglen;Bürglen;Sulgen-Kradolf;Sulgen
Bürglen;4911;Weinfelden;2015;Guntersried;x;8584;Leimbach;Bürglen;Bürglen;Sulgen-Kradolf;Sulgen
Bürglen;4911;Weinfelden;2015;Istighofen;397;8575;Istighofen;Bürglen;Bürglen;Bürglen;Wertbühl
Bürglen;4911;Weinfelden;2015;Lärchenhof;x;8575;Istighofen;Bürglen;Bürglen;Bürglen;Wertbühl
Bürglen;4911;Weinfelden;2015;Moos;197;8575;Istighofen;Bürglen;Bürglen;Bürglen;Wertbühl
Bürglen;4911;Weinfelden;2015;Moosrüti;x;8575;Istighofen;Bürglen;Bürglen;Bürglen;Wertbühl
Bürglen;4911;Weinfelden;2015;Sonnenhof (Gemeinde Bürglen);14;8575;Bürglen;Bürglen;Bürglen;Bürglen;Weinfelden
Bürglen;4911;Weinfelden;2015;Wiessler;58;8584;Leimbach;Bürglen;Bürglen;Sulgen-Kradolf;Sulgen
Diessenhofen;4545;Frauenfeld;2012;Birkenhof;x;8253;Diessenhofen;Region Diessenhofen;Region Diessenhofen;Diessenhofen;Diessenhofen
Diessenhofen;4545;Frauenfeld;2012;Gut;x;8253;Diessenhofen;Region Diessenhofen;Region Diessenhofen;Diessenhofen;Diessenhofen
Diessenhofen;4545;Frauenfeld;2012;Neugut;x;8253;Diessenhofen;Region Diessenhofen;Region Diessenhofen;Diessenhofen;Diessenhofen
Diessenhofen;4545;Frauenfeld;2012;Rheinsäge;6;8253;Diessenhofen;Region Diessenhofen;Region Diessenhofen;Diessenhofen;Diessenhofen
